Plaintext1,Plaintext2,Ciphertext1,Ciphertext2
0x011b,0x011c,0x2dc8,0x2a33
0x0120,0x0127,0xa57d,0x203a
0x0121,0x0126,0x2c28,0xa8a8
0x0122,0x0125,0x25dd,0x271c
0x0123,0x0124,0x2edd,0x2f1c
0x0128,0x012f,0xaf5c,0xaa8a
0x0129,0x012e,0xae7d,0xa08a
0x012a,0x012d,0xa75c,0x2828
0x012b,0x012c,0xaca8,0x2a3a
0x0130,0x0137,0x2ba8,0x2933
0x0131,0x0136,0x2dae,0xad28
0x0132,0x0135,0x2ede,0x2309
0x0133,0x0134,0x2b2e,0x2989
0x0138,0x013f,0xa309,0xa483
0x0139,0x013e,0x2e78,0xa103
0x013a,0x013d,0xa989,0x257e
0x013b,0x013c,0xa5d8,0x2363
0x0140,0x0147,0x4bed,0x20f3
0x0141,0x0146,0x2cef,0x222d
0x0142,0x0145,0xe541,0xe760
0x0143,0x0144,0xee41,0xef60
0x0148,0x014f,0x44fc,0x233c
0x0149,0x014e,0x4ded,0x213c
0x014a,0x014d,0x49fc,0x28ef
0x014b,0x014c,0x262d,0x2af3
0x0150,0x0157,0x4dc6,0xe0fa
0x0151,0x0156,0x28cb,0x26a6
0x0152,0x0155,0xe545,0xe710
0x0153,0x0154,0xe595,0xef10
0x0158,0x015f,0x4a30,0x23fc
0x0159,0x015e,0x4de6,0x21fc
0x015a,0x015d,0x4030,0x28eb
0x015b,0x015c,0x2626,0xeafa
0x0160,0x0167,0xa54d,0xe033
0x0161,0x0166,0xe8ae,0xc828
0x0162,0x0165,0x2d76,0x2060
0x0163,0x0164,0x2596,0x2f60
0x0168,0x016f,0xaa00,0xca83
0x0169,0x016e,0xaddd,0xa15a
0x016a,0x016d,0xa700,0x269e
0x016b,0x016c,0xa648,0x231a
0x0170,0x0177,0xa5dd,0x20fa
0x0171,0x0176,0x28ae,0xa828
0x0172,0x0175,0x25d6,0x2160
0x0173,0x0174,0x2576,0x2360
0x0178,0x017f,0xa300,0xaaba
0x0179,0x017e,0x257d,0xa0ba
0x017a,0x017d,0xa100,0x282e
0x017b,0x017c,0x28a8,0x2afa
0x0180,0x0187,0x4b2d,0xe9fa
0x0181,0x0186,0xebe8,0xe22d
0x0182,0x0185,0xeb41,0xe960
0x0183,0x0184,0x2ed1,0x2f10
0x0188,0x018f,0x4ffc,0xe33c
0x0189,0x018e,0x4eed,0x436a
0x018a,0x018d,0x493c,0x22df
0x018b,0x018c,0x4248,0x2313
0x0190,0x0197,0xabae,0x293a
0x0191,0x0196,0x2b28,0xada8
0x0192,0x0195,0x2e7e,0x2f57
0x0193,0x0194,0x2bae,0x2987
0x0198,0x019f,0xaf57,0xa48a
0x0199,0x019e,0xae7e,0xa75a
0x019a,0x019d,0xa987,0x2ed8
0x019b,0x019c,0xa578,0x2f1a
0x01a0,0x01a7,0x2ea6,0x29f3
0x01a1,0x01a6,0x2bef,0x2e2d
0x01a2,0x01a5,0xee9b,0xef09
0x01a3,0x01a4,0x2bcb,0x29b9
0x01a8,0x01af,0x4f57,0x2f3c
0x01a9,0x01ae,0x4e7e,0x4f1a
0x01aa,0x01ad,0x2f84,0xee4f
0x01ab,0x01ac,0x4ed8,0xef63
0x01b0,0x01b7,0x2ec6,0xe933
0x01b1,0x01b6,0xeb2f,0x2eed
0x01b2,0x01b5,0xcb2f,0xc933
0x01b3,0x01b4,0xebab,0xe989
0x01b8,0x01bf,0xaffc,0x2ffc
0x01b9,0x01be,0xaeed,0x27fc
0x01ba,0x01bd,0x2fb4,0xed2f
0x01bb,0x01bc,0x25ed,0xe433
0x01c0,0x01c7,0x2ee6,0xe9f3
0x01c1,0x01c6,0xedab,0x25c6
0x01c2,0x01c5,0xcb2b,0xc9f3
0x01c3,0x01c4,0xeb2b,0xe9b9
0x01c8,0x01cf,0xa330,0x2330
0x01c9,0x01ce,0xaee6,0x2130
0x01ca,0x01cd,0x2382,0xed2b
0x01cb,0x01cc,0x25e6,0xe4f3
0x01d0,0x01d7,0x2e26,0xe0f3
0x01d1,0x01d6,0x2dcb,0x25a6
0x01d2,0x01d5,0xee4b,0xef59
0x01d3,0x01d4,0x2beb,0xe0b9
0x01d8,0x01df,0x4309,0x2f30
0x01d9,0x01de,0x4ede,0x4363
0x01da,0x01dd,0x2f82,0xe59b
0x01db,0x01dc,0x457e,0xef13
0x01e0,0x01e7,0x4da6,0xe93a
0x01e1,0x01e6,0xedce,0xe6a6
0x01e2,0x01e5,0xed95,0xe910
0x01e3,0x01e4,0x2575,0xe310
0x01e8,0x01ef,0x4330,0xe330
0x01e9,0x01ee,0x45c6,0x431a
0x01ea,0x01ed,0x4930,0x267b
0x01eb,0x01ec,0x469e,0xe31a
0x01f0,0x01f7,0xa59d,0xe03a
0x01f1,0x01f6,0xec28,0xc8a8
0x01f2,0x01f5,0x2bdd,0x291c
0x01f3,0x01f4,0x2e4d,0x2f6c
0x01f8,0x01ff,0xa45c,0xca8a
0x01f9,0x01fe,0xad7d,0xa10a
0x01fa,0x01fd,0xa70c,0x2248
0x01fb,0x01fc,0xa698,0x236a
0x0200,0x0207,0xeea5,0xf92f
0x0201,0x0206,0xf93f,0xee21
0x0202,0x0205,0xb93f,0xb92f
0x0203,0x0204,0xf98b,0xf9ab
0x0208,0x020f,0xcf30,0xef30
0x0209,0x020e,0xce21,0xe730
0x020a,0x020d,0xef82,0xf43f
0x020b,0x020c,0xe521,0xf42f
0x0210,0x0217,0xee25,0xf9ef
0x0211,0x0216,0xf48b,0xe5a5
0x0212,0x0215,0xb93b,0xb9ef
0x0213,0x0214,0xf93b,0xf9cb
0x0218,0x021f,0xcff0,0xeff0
0x0219,0x021e,0xce25,0xe7f0
0x021a,0x021d,0xefb2,0xf43b
0x021b,0x021c,0xe525,0xf4ef
0x0220,0x0227,0xdb21,0x30ef
0x0221,0x0226,0x30ff,0x22e1
0x0222,0x0225,0xf761,0xf741
0x0223,0x0224,0xff61,0xff41
0x0228,0x022f,0xd430,0x23f0
0x0229,0x022e,0xdd21,0x21f0
0x022a,0x022d,0xd930,0x3aff
0x022b,0x022c,0x26e1,0x3aef
0x0230,0x0237,0x2ee5,0xf0ef
0x0231,0x0236,0x34bb,0x25c5
0x0232,0x0235,0xff6b,0xff7b
0x0233,0x0234,0x39fb,0xf0cb
0x0238,0x023f,0xdf59,0xe3f0
0x0239,0x023e,0xde4b,0xdf13
0x023a,0x023d,0xe3b2,0xf70b
0x023b,0x023c,0xd59b,0xffdf
0x0240,0x0247,0x3f1d,0x8aa8
0x0241,0x0246,0x8a88,0x3038
0x0242,0x0245,0x8f5d,0x8f7d
0x0243,0x0244,0x875d,0x877d
0x0248,0x024f,0x37dd,0x3028
0x0249,0x024e,0x371d,0x3a28
0x024a,0x024d,0x3fdd,0x8088
0x024b,0x024c,0x3a38,0x80a8
0x0250,0x0257,0x3756,0x8ac8
0x0251,0x0256,0x8a38,0x3a8e
0x0252,0x0255,0x375d,0x8391
0x0253,0x0254,0x871d,0x8191
0x0258,0x025f,0x3141,0x30e8
0x0259,0x025e,0x3716,0x3ae8
0x025a,0x025d,0x3341,0x3a88
0x025b,0x025c,0x3a3e,0x80c8
0x0260,0x0267,0x4dc5,0xf928
0x0261,0x0266,0xf4be,0xe5c6
0x0262,0x0265,0xf405,0xf9d1
0x0263,0x0264,0x3755,0xf3d1
0x0268,0x026f,0xdff0,0xef3c
0x0269,0x026e,0xd5a5,0xd31a
0x026a,0x026d,0xd0f0,0x315b
0x026b,0x026c,0x467b,0xf3d8
0x0270,0x0277,0xdda5,0xf0e8
0x0271,0x0276,0x3abb,0x26c5
0x0272,0x0275,0xf765,0xf7d1
0x0273,0x0274,0xf705,0xffd1
0x0278,0x027f,0xd4f0,0xe3fc
0x0279,0x027e,0xdd25,0xe1fc
0x027a,0x027d,0xd9f0,0x3afb
0x027b,0x027c,0x26e5,0xfae8
0x0280,0x0287,0x3f6d,0xbaa8
0x0281,0x0286,0xba88,0xf038
0x0282,0x0285,0x845d,0x847d
0x0283,0x0284,0x870d,0x879d
0x0288,0x028f,0x39dd,0xf028
0x0289,0x028e,0x391d,0x3348
0x028a,0x028d,0x3f4d,0x8108
0x028b,0x028c,0x3368,0x8198
0x0290,0x0297,0x2ec5,0x39ef
0x0291,0x0296,0x39ff,0x2ee1
0x0292,0x0295,0xff0b,0xff9b
0x0293,0x0294,0x39bb,0x39cb
0x0298,0x029f,0xdf09,0x2ff0
0x0299,0x029e,0xde9b,0xdf63
0x029a,0x029d,0x2fb2,0xff6f
0x029b,0x029c,0xde4f,0xff4f
0x02a0,0x02a7,0x398e,0x84a8
0x02a1,0x02a6,0x8488,0x3938
0x02a2,0x02a5,0x8f5e,0x8f7e
0x02a3,0x02a4,0x898e,0x89ae
0x02a8,0x02af,0x3f7e,0x3928
0x02a9,0x02ae,0x3f5e,0x3fd8
0x02aa,0x02ad,0x39ae,0x8758
0x02ab,0x02ac,0x3f18,0x8778
0x02b0,0x02b7,0x39be,0x84c8
0x02b1,0x02b6,0x84b8,0x39f8
0x02b2,0x02b5,0x84fe,0x84ee
0x02b3,0x02b4,0x89be,0x89ce
0x02b8,0x02bf,0x89e8,0x39e8
0x02b9,0x02be,0x89f8,0x34e8
0x02ba,0x02bd,0x39ce,0x89b8
0x02bb,0x02bc,0x34f8,0x89c8
0x02c0,0x02c7,0x39fe,0x8aaf
0x02c1,0x02c6,0x84f8,0x34be
0x02c2,0x02c5,0x84be,0x8a2b
0x02c3,0x02c4,0x39b8,0x80ab
0x02c8,0x02cf,0x802f,0x302f
0x02c9,0x02ce,0x89fe,0x3a2f
0x02ca,0x02cd,0x30ab,0x34b8
0x02cb,0x02cc,0x34fe,0x80af
0x02d0,0x02d7,0x393e,0x84af
0x02d1,0x02d6,0x8438,0x348e
0x02d2,0x02d5,0x3f58,0x839b
0x02d3,0x02d4,0x3988,0x89ab
0x02d8,0x02df,0x339b,0x392f
0x02d9,0x02de,0x3f1e,0x334f
0x02da,0x02dd,0x39ab,0x8718
0x02db,0x02dc,0x375e,0x819f
0x02e0,0x02e7,0x3706,0xbaaf
0x02e1,0x02e6,0xba38,0xfa8e
0x02e2,0x02e5,0x841d,0x8a91
0x02e3,0x02e4,0x876d,0x8791
0x02e8,0x02ef,0x3041,0xf02f
0x02e9,0x02ee,0x3456,0x33d8
0x02ea,0x02ed,0x3f41,0x8168
0x02eb,0x02ec,0x310e,0x8178
0x02f0,0x02f7,0x4be1,0xf9e8
0x02f1,0x02f6,0xf9f8,0xeeed
0x02f2,0x02f5,0xf961,0xf941
0x02f3,0x02f4,0x3f11,0x3fd1
0x02f8,0x02ff,0xdf30,0xeffc
0x02f9,0x02fe,0xde21,0x4313
0x02fa,0x02fd,0x49f0,0x331f
0x02fb,0x02fc,0x42df,0x33df
0x0300,0x0307,0x2fc5,0x29ff
0x0301,0x0306,0x3bff,0x2fe1
0x0302,0x0305,0x3f5b,0x3f7b
0x0303,0x0304,0x3bbb,0x29bb
0x0308,0x030f,0x4f59,0x2fe0
0x0309,0x030e,0x4e7b,0x4f13
0x030a,0x030d,0x2fc2,0x3f1f
0x030b,0x030c,0x4edf,0x3fdf
0x0310,0x0317,0x2fe5,0xe0ff
0x0311,0x0316,0x3dbb,0x27c5
0x0312,0x0315,0x3f1b,0xf37b
0x0313,0x0314,0x3bfb,0xe0bb
0x0318,0x031f,0xd359,0xe3e0
0x0319,0x031e,0x4edb,0xd313
0x031a,0x031d,0xe3c2,0x375b
0x031b,0x031c,0x457b,0xf3df
0x0320,0x0327,0x49e1,0xe9f8
0x0321,0x0326,0xfbf8,0xefed
0x0322,0x0325,0x3911,0x39d1
0x0323,0x0324,0x3e11,0x2f11
0x0328,0x032f,0x4ff0,0xefec
0x0329,0x032e,0x4ee1,0xdf1a
0x032a,0x032d,0x49e0,0xff18
0x032b,0x032c,0xded8,0xffd8
0x0330,0x0337,0xcf25,0xe4ff
0x0331,0x0336,0xfd3b,0xe725
0x0332,0x0335,0xfb3b,0xe9bb
0x0333,0x0334,0xbb3b,0xc9ff
0x0338,0x033f,0xefc2,0xe7e0
0x0339,0x033e,0xef25,0xefe0
0x033a,0x033d,0xcfe0,0xfd8b
0x033b,0x033c,0xe7a5,0xe9ff
0x0340,0x0347,0x3e6d,0xca88
0x0341,0x0346,0xb888,0xfc38
0x0342,0x0345,0x840d,0x849d
0x0343,0x0344,0x850d,0xa70d
0x0348,0x034f,0x394d,0xe038
0x0349,0x034e,0x396d,0xf348
0x034a,0x034d,0x2f6d,0xb108
0x034b,0x034c,0xf368,0xb198
0x0350,0x0357,0x3506,0xca8f
0x0351,0x0356,0xb838,0xf88e
0x0352,0x0355,0x846d,0x8491
0x0353,0x0354,0x856d,0xa701
0x0358,0x035f,0x3941,0xe03f
0x0359,0x035e,0x3406,0xf34f
0x035a,0x035d,0x2f61,0xb168
0x035b,0x035c,0xf10e,0xb19f
0x0360,0x0367,0xd425,0xeaf8
0x0361,0x0366,0x38fb,0x21e5
0x0362,0x0365,0xf505,0xef11
0x0363,0x0364,0xf565,0xe711
0x0368,0x036f,0xd9e0,0xe1ec
0x0369,0x036e,0xd4a5,0xe3ec
0x036a,0x036d,0xd4e0,0x38bb
0x036b,0x036c,0x21c5,0xe0f8
0x0370,0x0377,0x44c5,0xe938
0x0371,0x0376,0xfdbe,0xe7c6
0x0372,0x0375,0x3455,0xf0d1
0x0373,0x0374,0x3555,0xe311
0x0378,0x037f,0xd3f0,0xef2c
0x0379,0x037e,0x45c5,0xdf6a
0x037a,0x037d,0xd0e0,0xf75e
0x037b,0x037c,0xd57e,0xff48
0x0380,0x0387,0x351d,0xa088
0x0381,0x0386,0x8c88,0x3838
0x0382,0x0385,0x855d,0xa75d
0x0383,0x0384,0x8e5d,0xaf5d
0x0388,0x038f,0x2f1d,0x2a38
0x0389,0x038e,0x3e1d,0x2038
0x038a,0x038d,0x271d,0x8888
0x038b,0x038c,0x3c38,0xaa88
0x0390,0x0397,0xcf21,0xe43f
0x0391,0x0396,0xfd3f,0xe721
0x0392,0x0395,0xfb8b,0xe98b
0x0393,0x0394,0xbb3f,0xc93f
0x0398,0x039f,0xefa2,0xe720
0x0399,0x039e,0xefa5,0xef20
0x039a,0x039d,0xcf20,0xfb3f
0x039b,0x039c,0xef21,0xe93f
0x03a0,0x03a7,0x8bf8,0xa9b8
0x03a1,0x03a6,0x8bb8,0x3df8
0x03a2,0x03a5,0x8bbe,0xa9be
0x03a3,0x03a4,0x8dfe,0xa4fe
0x03a8,0x03af,0x29be,0x24f8
0x03a9,0x03ae,0x3bbe,0x29f8
0x03aa,0x03ad,0xa9f8,0x8db8
0x03ab,0x03ac,0x3bf8,0xa4b8
0x03b0,0x03b7,0x3b8e,0xa488
0x03b1,0x03b6,0x8d88,0x3b38
0x03b2,0x03b5,0x8f0e,0x8f9e
0x03b3,0x03b4,0x8b8e,0xa98e
0x03b8,0x03bf,0x3f9e,0x2938
0x03b9,0x03be,0x3f0e,0x3f48
0x03ba,0x03bd,0x298e,0x8708
0x03bb,0x03bc,0x3f68,0x8798
0x03c0,0x03c7,0x3b3e,0xa48f
0x03c1,0x03c6,0x8d38,0x3d8e
0x03c2,0x03c5,0x3f08,0x8f9b
0x03c3,0x03c4,0x3b88,0xa98b
0x03c8,0x03cf,0x3f9b,0x293f
0x03c9,0x03ce,0x3f6e,0x3f4f
0x03ca,0x03cd,0x298b,0x8768
0x03cb,0x03cc,0x370e,0x879f
0x03d0,0x03d7,0x8bfe,0xa08f
0x03d1,0x03d6,0x3db8,0x3dfe
0x03d2,0x03d5,0x3bb8,0xa08b
0x03d3,0x03d4,0x8dbe,0xaa3b
0x03d8,0x03df,0x208b,0x2a3f
0x03d9,0x03de,0x3bfe,0x203f
0x03da,0x03dd,0xa03f,0x8df8
0x03db,0x03dc,0x3dbe,0xaa8f
0x03e0,0x03e7,0x3516,0xa0b8
0x03e1,0x03e6,0x3888,0x383e
0x03e2,0x03e5,0x851d,0xa101
0x03e3,0x03e4,0x355d,0xa301
0x03e8,0x03ef,0x2361,0x2af8
0x03e9,0x03ee,0x3556,0x20f8
0x03ea,0x03ed,0x2161,0x8838
0x03eb,0x03ec,0x388e,0xaab8
0x03f0,0x03f7,0xd421,0x2aff
0x03f1,0x03f6,0x38ff,0x21e1
0x03f2,0x03f5,0xfe61,0xef61
0x03f3,0x03f4,0xf561,0xe761
0x03f8,0x03ff,0xd920,0x21e0
0x03f9,0x03fe,0xd921,0x23e0
0x03fa,0x03fd,0xd420,0x3cff
0x03fb,0x03fc,0x23e1,0x20ff
0x0400,0x0407,0xe3cb,0xe01f
0x0401,0x0406,0xfc1f,0xe3ef
0x0402,0x0405,0x1355,0x1375
0x0403,0x0404,0xfc5b,0xe05b
0x0408,0x040f,0xd3b9,0xe3e3
0x0409,0x040e,0xd2cb,0xd3f3
0x040a,0x040d,0xe3c9,0x1311
0x040b,0x040c,0xd2ef,0x13d1
0x0410,0x0417,0xe3c5,0xf8bb
0x0411,0x0416,0xfcff,0xe3e1
0x0412,0x0415,0xf35b,0xf31b
0x0413,0x0414,0xfcbb,0xfcfb
0x0418,0x041f,0xd2db,0xe1c5
0x0419,0x041e,0xd27b,0xd67b
0x041a,0x041d,0xe3e5,0xf31f
0x041b,0x041c,0xd2df,0xf15b
0x0420,0x0427,0xd0ef,0xe968
0x0421,0x0426,0xfb68,0xef28
0x0422,0x0425,0xf0f1,0xf0e1
0x0423,0x0424,0x1c11,0xd011
0x0428,0x042f,0xd013,0xef2a
0x0429,0x042e,0xdcdf,0xdf3a
0x042a,0x042d,0xd0e3,0x1f6d
0x042b,0x042c,0xde28,0x1f4d
0x0430,0x0437,0xcfe1,0xfdfb
0x0431,0x0436,0xfdff,0xe7e1
0x0432,0x0435,0xfbbb,0xfbfb
0x0433,0x0434,0xbbff,0xbbfb
0x0438,0x043f,0xefe5,0xe7e5
0x0439,0x043e,0xefc5,0xe7c5
0x043a,0x043d,0xcfe5,0xfbff
0x043b,0x043c,0xefe1,0xfdbb
0x0440,0x0447,0x6b61,0xca0f
0x0441,0x0446,0xb80f,0xfc6f
0x0442,0x0445,0x8481,0x84a1
0x0443,0x0444,0x0d01,0x9401
0x0448,0x044f,0x3921,0xe06f
0x0449,0x044e,0x3931,0x1341
0x044a,0x044d,0x4961,0x5101
0x044b,0x044c,0x1361,0x5191
0x0450,0x0457,0x3e61,0xb83f
0x0451,0x0456,0xb88f,0xfc3f
0x0452,0x0455,0x8401,0x8461
0x0453,0x0454,0x8501,0x8561
0x0458,0x045f,0x3405,0xf88b
0x0459,0x045e,0x3961,0xf10b
0x045a,0x045d,0x3505,0xb10f
0x045b,0x045c,0xf36f,0xb16f
0x0460,0x0467,0xd4e1,0xf8fe
0x0461,0x0466,0xf8f8,0xe1ed
0x0462,0x0465,0xfe11,0xf555
0x0463,0x0464,0xf511,0xf515
0x0468,0x046f,0xd4c5,0xe1e6
0x0469,0x046e,0xd9e1,0xe1c6
0x046a,0x046d,0xd4e5,0xfcf8
0x046b,0x046c,0xe3ed,0xf8be
0x0470,0x0477,0xd0e1,0xfd8e
0x0471,0x0476,0xfb38,0xef2d
0x0472,0x0475,0xf011,0xfa55
0x0473,0x0474,0xf211,0xf655
0x0478,0x047f,0xd6c5,0xe7a6
0x0479,0x047e,0xd2e1,0xd59e
0x047a,0x047d,0xdac5,0xff68
0x047b,0x047c,0xde48,0xf70e
0x0480,0x0487,0x6861,0xa058
0x0481,0x0486,0x8c58,0x3818
0x0482,0x0485,0x0801,0x9a01
0x0483,0x0484,0x0c01,0x9001
0x0488,0x048f,0x4061,0x2a18
0x0489,0x048e,0x6c61,0x2018
0x048a,0x048d,0x4a61,0x8858
0x048b,0x048c,0x3c18,0xaa58
0x0490,0x0497,0xcfef,0xe41f
0x0491,0x0496,0xfd1f,0xe7ef
0x0492,0x0495,0xfb5b,0xe95b
0x0493,0x0494,0xbb1f,0xc91f
0x0498,0x049f,0xefc9,0xe7e3
0x0499,0x049e,0xefcb,0xefe3
0x049a,0x049d,0xcfe3,0xfb1f
0x049b,0x049c,0xefef,0xe91f
0x04a0,0x04a7,0x8c6f,0xa00f
0x04a1,0x04a6,0x8c0f,0x386f
0x04a2,0x04a5,0x8c0b,0xa00b
0x04a3,0x04a4,0x886b,0xaa6b
0x04a8,0x04af,0x200b,0x2a6f
0x04a9,0x04ae,0x3c0b,0x206f
0x04aa,0x04ad,0xa06f,0x880f
0x04ab,0x04ac,0x3c6f,0xaa0f
0x04b0,0x04b7,0x3b0b,0xa40f
0x04b1,0x04b6,0x8d0f,0x3b6f
0x04b2,0x04b5,0x0f05,0x0f95
0x04b3,0x04b4,0x8b0b,0xa90b
0x04b8,0x04bf,0x6f95,0x296f
0x04b9,0x04be,0x6f05,0x6f41
0x04ba,0x04bd,0x290b,0x0701
0x04bb,0x04bc,0x6f61,0x0791
0x04c0,0x04c7,0x3b8b,0x8d3f
0x04c1,0x04c6,0x8d8f,0x3b3f
0x04c2,0x04c5,0x8f0b,0x3f0f
0x04c3,0x04c4,0x8b8b,0x3b8f
0x04c8,0x04cf,0x3f6b,0x3d8b
0x04c9,0x04ce,0x3f0b,0x370b
0x04ca,0x04cd,0x3b3b,0x870f
0x04cb,0x04cc,0x3f6f,0x876f
0x04d0,0x04d7,0x8c3f,0x388f
0x04d1,0x04d6,0x8c8f,0x383f
