Plaintext1,Plaintext2,Ciphertext1,Ciphertext2
0x0069,0x1069,0xd509,0x154b
0x006a,0x106a,0xe2e0,0xd5d3
0x006b,0x106b,0xde69,0x5e4b
0x006c,0x106c,0xee5b,0xbf13
0x006d,0x106d,0xfe69,0xbf49
0x006e,0x106e,0xde79,0x5ed3
0x006f,0x106f,0xe2c2,0x7ed3
0x0070,0x1070,0xe582,0x4519
0x0071,0x1071,0xfb39,0x8e19
0x0072,0x1072,0xfd39,0xf799
0x0073,0x1073,0xfd89,0x3519
0x0074,0x1074,0xebff,0xe61f
0x0075,0x1075,0xedff,0xff13
0x0076,0x1076,0xee32,0x9e19
0x0077,0x1077,0xebbb,0xc21f
0x0078,0x1078,0xe5e0,0x1ed3
0x0079,0x1079,0xe532,0x159b
0x007a,0x107a,0xeee0,0xd6d3
0x007b,0x107b,0xce32,0x1e4b
0x007c,0x107c,0xcbff,0xff59
0x007d,0x107d,0xbb39,0xff49
0x007e,0x107e,0xcee0,0x1e79
0x007f,0x107f,0xeec2,0x72d3
0x0080,0x1080,0x3b3a,0x351a
0x0081,0x1081,0x8b87,0x8517
0x0082,0x1082,0x855a,0x8f7a
0x0083,0x1083,0x8d8a,0x8e5a
0x0084,0x1084,0xad88,0xae58
0x0085,0x1085,0xa558,0x8f5a
0x0086,0x1086,0x3b87,0x8e1a
0x0087,0x1087,0xab8e,0xa51e
0x0088,0x1088,0x2e18,0x371a
0x0089,0x1089,0x3e1a,0x37da
0x008a,0x108a,0x2b38,0x2518
0x008b,0x108b,0x3e57,0x8fda
0x008c,0x108c,0xae5e,0x8717
0x008d,0x108d,0x8e57,0x87d7
0x008e,0x108e,0x2e5e,0x8f1a
0x008f,0x108f,0x2b8e,0xae18
0x0090,0x1090,0xdbed,0x46e1
0x0091,0x1091,0xfbfa,0x3613
0x0092,0x1092,0x3011,0x3811
0x0093,0x1093,0xff1d,0x3a11
0x0094,0x1094,0xffdd,0x3ad1
0x0095,0x1095,0x30d1,0x2a11
0x0096,0x1096,0xeefc,0x4613
0x0097,0x1097,0xebf8,0x261f
0x0098,0x1098,0x43f0,0x41e0
0x0099,0x1099,0x42e1,0x41e1
0x009a,0x109a,0xd9fc,0x41f0
0x009b,0x109b,0x4213,0x66df
0x009c,0x109c,0x221f,0x3113
0x009d,0x109d,0x3213,0x31d3
0x009e,0x109e,0x42d3,0x66d3
0x009f,0x109f,0xeeec,0x46d3
0x00a0,0x10a0,0xf36d,0x3a6d
0x00a1,0x10a1,0xb88a,0x820a
0x00a2,0x10a2,0x8a0d,0x8c0d
0x00a3,0x10a3,0xb10d,0x800d
0x00a4,0x10a4,0xb19d,0x809d
0x00a5,0x10a5,0x8a9d,0xa00d
0x00a6,0x10a6,0xfc3a,0x366a
0x00a7,0x10a7,0xc888,0xa208
0x00a8,0x10a8,0x304d,0x2a6d
0x00a9,0x10a9,0x306d,0x386d
0x00aa,0x10aa,0xf34d,0x3a4d
0x00ab,0x10ab,0x326a,0x314a
0x00ac,0x10ac,0xa608,0x830a
0x00ad,0x10ad,0x860a,0x839a
0x00ae,0x10ae,0x2268,0x316a
0x00af,0x10af,0xec38,0x2668
0x00b0,0x10b0,0x336d,0xfa6d
0x00b1,0x10b1,0x888a,0xb20a
0x00b2,0x10b2,0x830d,0x880d
0x00b3,0x10b3,0x810d,0xb00d
0x00b4,0x10b4,0x819d,0xb09d
0x00b5,0x10b5,0x839d,0xaa0d
0x00b6,0x10b6,0x3c3a,0xf66a
0x00b7,0x10b7,0xa888,0xc208
0x00b8,0x10b8,0x314d,0x206d
0x00b9,0x10b9,0x316d,0x3c6d
0x00ba,0x10ba,0x334d,0xfa4d
0x00bb,0x10bb,0x383a,0x334a
0x00bc,0x10bc,0xac88,0x810a
0x00bd,0x10bd,0x8c8a,0x819a
0x00be,0x10be,0x2838,0x336a
0x00bf,0x10bf,0x2c38,0xe668
0x00c0,0x10c0,0x3106,0xfa66
0x00c1,0x10c1,0x883a,0xf60a
0x00c2,0x10c2,0x310d,0x886d
0x00c3,0x10c3,0x816d,0xfa0d
0x00c4,0x10c4,0x817d,0xb091
0x00c5,0x10c5,0x837d,0xaa5d
0x00c6,0x10c6,0x3887,0xf667
0x00c7,0x10c7,0xa8b8,0xc20f
0x00c8,0x10c8,0x31dd,0x201d
0x00c9,0x10c9,0x3166,0x3806
0x00ca,0x10ca,0x33dd,0xfa41
0x00cb,0x10cb,0x3837,0x3197
0x00cc,0x10cc,0xacb8,0x815a
0x00cd,0x10cd,0x388a,0x814a
0x00ce,0x10ce,0x28f8,0x331a
0x00cf,0x10cf,0x2cf8,0xe66f
0x00d0,0x10d0,0xf106,0x3a66
0x00d1,0x10d1,0xb83a,0x360a
0x00d2,0x10d2,0x8a6d,0x380d
0x00d3,0x10d3,0xb16d,0x3a0d
0x00d4,0x10d4,0xb191,0x807d
0x00d5,0x10d5,0x8a7d,0xa05d
0x00d6,0x10d6,0xf887,0x3667
0x00d7,0x10d7,0xc88f,0xa258
0x00d8,0x10d8,0x30dd,0x2a1d
0x00d9,0x10d9,0x3a06,0x3866
0x00da,0x10da,0xf341,0x3add
0x00db,0x10db,0x3607,0x3147
0x00dc,0x10dc,0xa658,0x835a
0x00dd,0x10dd,0x866a,0x319a
0x00de,0x10de,0x2218,0x311a
0x00df,0x10df,0xec3f,0x2618
0x00e0,0x10e0,0x3d87,0x3517
0x00e1,0x10e1,0x3b8a,0x8557
0x00e2,0x10e2,0x851a,0x377a
0x00e3,0x10e3,0x8d3a,0x355a
0x00e4,0x10e4,0xad8f,0xa20f
0x00e5,0x10e5,0xa60f,0x8303
0x00e6,0x10e6,0x3b37,0x8e17
0x00e7,0x10e7,0xab8b,0xa66b
0x00e8,0x10e8,0x226f,0x3163
0x00e9,0x10e9,0x3557,0x37d7
0x00ea,0x10ea,0x2b3f,0x266f
0x00eb,0x10eb,0x3e17,0x8fd7
0x00ec,0x10ec,0xa20b,0x8169
0x00ed,0x10ed,0x3e5a,0x8777
0x00ee,0x10ee,0x220b,0x8363
0x00ef,0x10ef,0x2b8b,0xa26f
0x00f0,0x10f0,0x2ef0,0xd563
0x00f1,0x10f1,0x3bb9,0xbe63
0x00f2,0x10f2,0xfe63,0xf743
0x00f3,0x10f3,0x3bf3,0xf563
0x00f4,0x10f4,0x2bff,0xe56f
0x00f5,0x10f5,0xee6f,0xf763
0x00f6,0x10f6,0x2eb2,0x7e63
0x00f7,0x10f7,0x2bbb,0xce6f
0x00f8,0x10f8,0xde43,0x1543
0x00f9,0x10f9,0xde63,0x154f
0x00fa,0x10fa,0x2ee0,0xd543
0x00fb,0x10fb,0xde09,0x5e4f
0x00fc,0x10fc,0xee0b,0xbf63
0x00fd,0x10fd,0xfe09,0xbf43
0x00fe,0x10fe,0xde99,0x5e43
0x00ff,0x10ff,0x2ec2,0x7e43
0x0100,0x1100,0xabce,0xa54e
0x0101,0x1101,0x2be8,0x2548
0x0102,0x1102,0xabe8,0x2f7e
0x0103,0x1103,0x2bce,0xae48
0x0104,0x1104,0x29b7,0xaf6a
0x0105,0x1105,0xa9fa,0x2f77
0x0106,0x1106,0xadc8,0xae98
0x0107,0x1107,0x29fa,0x276a
0x0108,0x1108,0xa4f7,0xaf77
0x0109,0x1109,0xadee,0xaf7e
0x010a,0x110a,0xa9b7,0xa767
0x010b,0x110b,0xabc8,0xa778
0x010c,0x110c,0x24fa,0x2fda
0x010d,0x110d,0x2de8,0x2fd8
0x010e,0x110e,0xa9ba,0xa77a
0x010f,0x110f,0xa4ba,0xaf0a
0x0110,0x1110,0x2bc8,0xa59e
0x0111,0x1111,0x2dce,0x254e
0x0112,0x1112,0xabee,0x2fde
0x0113,0x1113,0x2bee,0xae4e
0x0114,0x1114,0x2089,0xaf63
0x0115,0x1115,0xa033,0x2399
0x0116,0x1116,0xade8,0x2598
0x0117,0x1117,0x2033,0x2763
0x0118,0x1118,0xaa39,0xa399
0x0119,0x1119,0xadce,0x2f78
0x011a,0x111a,0xa089,0xa769
0x011b,0x111b,0x2dc8,0xa7d8
0x011c,0x111c,0x2a33,0x2343
0x011d,0x111d,0x2dee,0x277e
0x011e,0x111e,0xa083,0xa193
0x011f,0x111f,0xaa83,0xaf03
0x0120,0x1120,0xa57d,0xab9d
0x0121,0x1121,0x2c28,0xe648
0x0122,0x1122,0x25dd,0x29dd
0x0123,0x1123,0x2edd,0x2d4d
0x0124,0x1124,0x2f1c,0x246c
0x0125,0x1125,0x271c,0x29dc
0x0126,0x1126,0xa8a8,0xc298
0x0127,0x1127,0x203a,0xe16a
0x0128,0x1128,0xaf5c,0xa47c
0x0129,0x1129,0xae7d,0xa47d
0x012a,0x112a,0xa75c,0xa90c
0x012b,0x112b,0xaca8,0xa198
0x012c,0x112c,0x2a3a,0x234a
0x012d,0x112d,0x2828,0x2348
0x012e,0x112e,0xa08a,0xa19a
0x012f,0x112f,0xaa8a,0xc30a
0x0130,0x1130,0x2ba8,0xa57e
0x0131,0x1131,0x2dae,0x25de
0x0132,0x1132,0x2ede,0xafde
0x0133,0x1133,0x2b2e,0xaede
0x0134,0x1134,0x2989,0xa363
0x0135,0x1135,0x2309,0xa343
0x0136,0x1136,0xad28,0x2578
0x0137,0x1137,0x2933,0x2163
0x0138,0x1138,0xa309,0xa149
0x0139,0x1139,0x2e78,0xa77e
0x013a,0x113a,0xa989,0xa169
0x013b,0x113b,0xa5d8,0x2778
0x013c,0x113c,0x2363,0x2143
0x013d,0x113d,0x257e,0x27de
0x013e,0x113e,0xa103,0xa393
0x013f,0x113f,0xa483,0xa303
0x0140,0x1140,0x4bed,0x452d
0x0141,0x1141,0x2cef,0xe5d8
0x0142,0x1142,0xe541,0xe941
0x0143,0x1143,0xee41,0x2dd1
0x0144,0x1144,0xef60,0x2410
0x0145,0x1145,0xe760,0xe940
0x0146,0x1146,0x222d,0xd648
0x0147,0x1147,0x20f3,0xe71a
0x0148,0x1148,0x44fc,0x4fec
0x0149,0x1149,0x4ded,0x4fed
0x014a,0x114a,0x49fc,0x473c
0x014b,0x114b,0x262d,0x4348
0x014c,0x114c,0x2af3,0x23d3
0x014d,0x114d,0x28ef,0x23df
0x014e,0x114e,0x213c,0x434a
0x014f,0x114f,0x233c,0xd16a
0x0150,0x1150,0x4dc6,0x4526
0x0151,0x1151,0x28cb,0xe5de
0x0152,0x1152,0xe545,0xe495
0x0153,0x1153,0xe595,0x2dd5
0x0154,0x1154,0xef10,0xea10
0x0155,0x1155,0xe710,0xe9d0
0x0156,0x1156,0x26a6,0xd64e
0x0157,0x1157,0xe0fa,0xe76a
0x0158,0x1158,0x4a30,0x4320
0x0159,0x1159,0x4de6,0x47c6
0x015a,0x115a,0x4030,0x4730
0x015b,0x115b,0x2626,0x419e
0x015c,0x115c,0xeafa,0xe3da
0x015d,0x115d,0x28eb,0x217b
0x015e,0x115e,0x21fc,0x43da
0x015f,0x115f,0x23fc,0xd163
0x0160,0x1160,0xa54d,0x2d7d
0x0161,0x1161,0xe8ae,0x264e
0x0162,0x1162,0x2d76,0x24d6
0x0163,0x1163,0x2596,0x2dd6
0x0164,0x1164,0x2f60,0x2a60
0x0165,0x1165,0x2060,0x2a40
0x0166,0x1166,0xc828,0x2698
0x0167,0x1167,0xe033,0x211a
0x0168,0x1168,0xaa00,0xa090
0x0169,0x1169,0xaddd,0x247d
0x016a,0x116a,0xa700,0xa000
0x016b,0x116b,0xa648,0x2198
0x016c,0x116c,0x231a,0x21da
0x016d,0x116d,0x269e,0x214e
0x016e,0x116e,0xa15a,0xa37a
0x016f,0x116f,0xca83,0xa35a
0x0170,0x1170,0xa5dd,0x2d9d
0x0171,0x1171,0x28ae,0xe64e
0x0172,0x1172,0x25d6,0x2476
0x0173,0x1173,0x2576,0x2d46
0x0174,0x1174,0x2360,0x2460
0x0175,0x1175,0x2160,0x2040
0x0176,0x1176,0xa828,0xe698
0x0177,0x1177,0x20fa,0xe163
0x0178,0x1178,0xa300,0xaa90
0x0179,0x1179,0x257d,0xa4dd
0x017a,0x117a,0xa100,0xa900
0x017b,0x117b,0x28a8,0xa148
0x017c,0x117c,0x2afa,0x23da
0x017d,0x117d,0x282e,0x219e
0x017e,0x117e,0xa0ba,0xa17a
0x017f,0x117f,0xaaba,0xc303
0x0180,0x1180,0x4b2d,0x45ed
0x0181,0x1181,0xebe8,0x26df
0x0182,0x1182,0xeb41,0xe441
0x0183,0x1183,0x2ed1,0xed41
0x0184,0x1184,0x2f10,0xe460
0x0185,0x1185,0xe960,0xe440
0x0186,0x1186,0xe22d,0x4648
0x0187,0x1187,0xe9fa,0x2113
0x0188,0x1188,0x4ffc,0x47ec
0x0189,0x1189,0x4eed,0x47ed
0x018a,0x118a,0x493c,0x47fc
0x018b,0x118b,0x4248,0x4148
0x018c,0x118c,0x2313,0x21d3
0x018d,0x118d,0x22df,0x21df
0x018e,0x118e,0x436a,0x414a
0x018f,0x118f,0xe33c,0x416a
0x0190,0x1190,0xabae,0xa5de
0x0191,0x1191,0x2b28,0x25d8
0x0192,0x1192,0x2e7e,0xafd8
0x0193,0x1193,0x2bae,0xaed8
0x0194,0x1194,0x2987,0xaf1a
0x0195,0x1195,0x2f57,0xafda
0x0196,0x1196,0xada8,0xae78
0x0197,0x1197,0x293a,0x271a
0x0198,0x1198,0xaf57,0xa7d7
0x0199,0x1199,0xae7e,0xa7de
0x019a,0x119a,0xa987,0xa717
0x019b,0x119b,0xa578,0xaf78
0x019c,0x119c,0x2f1a,0x27da
0x019d,0x119d,0x2ed8,0x27d8
0x019e,0x119e,0xa75a,0xaf7a
0x019f,0x119f,0xa48a,0xaf5a
0x01a0,0x11a0,0x2ea6,0x9ed8
0x01a1,0x11a1,0x2bef,0xe54f
0x01a2,0x11a2,0xee9b,0xcf4f
0x01a3,0x11a3,0x2bcb,0xce4f
0x01a4,0x11a4,0x29b9,0xcf63
0x01a5,0x11a5,0xef09,0xcf43
0x01a6,0x11a6,0x2e2d,0x45d8
0x01a7,0x11a7,0x29f3,0xe763
0x01a8,0x11a8,0x4f57,0x9fda
0x01a9,0x11a9,0x4e7e,0x9fd8
0x01aa,0x11aa,0x2f84,0x9f1a
0x01ab,0x11ab,0x4ed8,0x47d8
0x01ac,0x11ac,0xef63,0xe743
0x01ad,0x11ad,0xee4f,0xe74f
0x01ae,0x11ae,0x4f1a,0x47da
0x01af,0x11af,0x2f3c,0x471a
0x01b0,0x11b0,0x2ec6,0x9e48
0x01b1,0x11b1,0xeb2f,0x25df
0x01b2,0x11b2,0xcb2f,0xef9b
0x01b3,0x11b3,0xebab,0xaedf
0x01b4,0x11b4,0xe989,0xaf13
0x01b5,0x11b5,0xc933,0xef99
0x01b6,0x11b6,0x2eed,0x4548
0x01b7,0x11b7,0xe933,0x2713
0x01b8,0x11b8,0xaffc,0x4f77
0x01b9,0x11b9,0xaeed,0x4f7e
0x01ba,0x11ba,0x2fb4,0x9f6a
0x01bb,0x11bb,0x25ed,0x4fd8
0x01bc,0x11bc,0xe433,0xef43
0x01bd,0x11bd,0xed2f,0xef4f
0x01be,0x11be,0x27fc,0x4fda
0x01bf,0x11bf,0x2ffc,0x476a
0x01c0,0x11c0,0x2ee6,0x9e4e
0x01c1,0x11c1,0xedab,0x25db
0x01c2,0x11c2,0xcb2b,0xef4b
0x01c3,0x11c3,0xeb2b,0xaedb
0x01c4,0x11c4,0xe9b9,0xc313
0x01c5,0x11c5,0xc9f3,0xef79
0x01c6,0x11c6,0x25c6,0x454e
0x01c7,0x11c7,0xe9f3,0xe113
0x01c8,0x11c8,0xa330,0x4399
0x01c9,0x11c9,0xaee6,0x4fde
0x01ca,0x11ca,0x2382,0x9f63
0x01cb,0x11cb,0x25e6,0x477e
0x01cc,0x11cc,0xe4f3,0xefd3
0x01cd,0x11cd,0xed2b,0xe79b
0x01ce,0x11ce,0x2130,0x4343
0x01cf,0x11cf,0x2330,0x4763
0x01d0,0x11d0,0x2e26,0x9ede
0x01d1,0x11d1,0x2dcb,0xe54b
0x01d2,0x11d2,0xee4b,0xcf4b
0x01d3,0x11d3,0x2beb,0xce4b
0x01d4,0x11d4,0xe0b9,0xcf13
0x01d5,0x11d5,0xef59,0xcfd3
0x01d6,0x11d6,0x25a6,0x45de
0x01d7,0x11d7,0xe0f3,0xe713
0x01d8,0x11d8,0x4309,0x9343
0x01d9,0x11d9,0x4ede,0x9fde
0x01da,0x11da,0x2f82,0x9363
0x01db,0x11db,0x457e,0x47de
0x01dc,0x11dc,0xef13,0xe7d3
0x01dd,0x11dd,0xe59b,0xe74b
0x01de,0x11de,0x4363,0x4143
0x01df,0x11df,0x2f30,0x4163
0x01e0,0x11e0,0x4da6,0x45e6
0x01e1,0x11e1,0xedce,0x26db
0x01e2,0x11e2,0xed95,0xe445
0x01e3,0x11e3,0x2575,0xed45
0x01e4,0x11e4,0xe310,0xe410
0x01e5,0x11e5,0xe910,0xe4d0
0x01e6,0x11e6,0xe6a6,0x464e
0x01e7,0x11e7,0xe93a,0xe11a
0x01e8,0x11e8,0x4330,0x4120
0x01e9,0x11e9,0x45c6,0x47e6
0x01ea,0x11ea,0x4930,0x4130
0x01eb,0x11eb,0x469e,0x414e
0x01ec,0x11ec,0xe31a,0xe1da
0x01ed,0x11ed,0x267b,0x21db
0x01ee,0x11ee,0x431a,0x41da
0x01ef,0x11ef,0xe330,0x411a
0x01f0,0x11f0,0xa59d,0xab7d
0x01f1,0x11f1,0xec28,0x2648
0x01f2,0x11f2,0x2bdd,0x24dd
0x01f3,0x11f3,0x2e4d,0x2ddd
0x01f4,0x11f4,0x2f6c,0x241c
0x01f5,0x11f5,0x291c,0x24dc
0x01f6,0x11f6,0xc8a8,0xa298
0x01f7,0x11f7,0xe03a,0x216a
0x01f8,0x11f8,0xa45c,0xa97c
0x01f9,0x11f9,0xad7d,0xa97d
0x01fa,0x11fa,0xa70c,0xa95c
0x01fb,0x11fb,0xa698,0xa398
0x01fc,0x11fc,0x236a,0x214a
0x01fd,0x11fd,0x2248,0x2148
0x01fe,0x11fe,0xa10a,0xa39a
0x01ff,0x11ff,0xca8a,0xa30a
0x0200,0x1200,0xeea5,0x9edf
0x0201,0x1201,0xf93f,0x371f
0x0202,0x1202,0xb93f,0xfe0b
0x0203,0x1203,0xf98b,0x8f1f
0x0204,0x1204,0xf9ab,0x8fdf
0x0205,0x1205,0xb92f,0xef0b
0x0206,0x1206,0xee21,0x45df
0x0207,0x1207,0xf92f,0x37df
0x0208,0x1208,0xcf30,0xdf99
0x0209,0x1209,0xce21,0xdf9b
0x020a,0x120a,0xef82,0x9f13
0x020b,0x120b,0xe521,0xdf4f
0x020c,0x120c,0xf42f,0xef6f
0x020d,0x120d,0xf43f,0xfe6f
0x020e,0x120e,0xe730,0xdf43
0x020f,0x120f,0xef30,0x4713
0x0210,0x1210,0xee25,0x9edb
0x0211,0x1211,0xf48b,0x371b
0x0212,0x1212,0xb93b,0xfe6b
0x0213,0x1213,0xf93b,0x8f1b
0x0214,0x1214,0xf9cb,0xb3df
0x0215,0x1215,0xb9ef,0xef5b
0x0216,0x1216,0xe5a5,0x45db
0x0217,0x1217,0xf9ef,0xf1df
0x0218,0x1218,0xcff0,0xdf79
0x0219,0x1219,0xce25,0xdf4b
0x021a,0x121a,0xefb2,0x7313
0x021b,0x121b,0xe525,0xd79b
0x021c,0x121c,0xf4ef,0xef1f
0x021d,0x121d,0xf43b,0xf50b
0x021e,0x121e,0xe7f0,0xdfd3
0x021f,0x121f,0xeff0,0xd113
0x0220,0x1220,0xdb21,0x45e1
0x0221,0x1221,0x30ff,0xf718
0x0222,0x1222,0xf761,0xfb61
0x0223,0x1223,0xff61,0x3411
0x0224,0x1224,0xff41,0x34d1
0x0225,0x1225,0xf741,0xe961
0x0226,0x1226,0x22e1,0xd5d8
0x0227,0x1227,0x30ef,0xf7d8
0x0228,0x1228,0xd430,0xdf20
0x0229,0x1229,0xdd21,0xdf21
0x022a,0x122a,0xd930,0x47f0
0x022b,0x122b,0x26e1,0x43df
0x022c,0x122c,0x3aef,0x231f
0x022d,0x122d,0x3aff,0x321f
0x022e,0x122e,0x21f0,0x43d3
0x022f,0x122f,0x23f0,0xd71a
0x0230,0x1230,0x2ee5,0x7e4b
0x0231,0x1231,0x34bb,0xf76b
0x0232,0x1232,0xff6b,0xbe6b
0x0233,0x1233,0x39fb,0xbf6b
0x0234,0x1234,0xf0cb,0xbfdf
0x0235,0x1235,0xff7b,0xcf1f
0x0236,0x1236,0x25c5,0xd54b
0x0237,0x1237,0xf0ef,0xf7df
0x0238,0x1238,0xdf59,0x7fd3
0x0239,0x1239,0xde4b,0x7f4b
0x023a,0x123a,0xe3b2,0x7f13
0x023b,0x123b,0xd59b,0xd74b
0x023c,0x123c,0xffdf,0xe71f
0x023d,0x123d,0xf70b,0xf56b
0x023e,0x123e,0xdf13,0xd7d3
0x023f,0x123f,0xe3f0,0xd713
0x0240,0x1240,0x3f1d,0x346d
0x0241,0x1241,0x8a88,0xb308
0x0242,0x1242,0x8f5d,0x8d5d
0x0243,0x1243,0x875d,0x890d
0x0244,0x1244,0x877d,0x899d
0x0245,0x1245,0x8f7d,0xa45d
0x0246,0x1246,0x3038,0xf168
0x0247,0x1247,0x8aa8,0xb398
0x0248,0x1248,0x37dd,0x291d
0x0249,0x1249,0x371d,0x3b1d
0x024a,0x124a,0x3fdd,0x344d
0x024b,0x124b,0x3a38,0x3268
0x024c,0x124c,0x80a8,0xa108
0x024d,0x124d,0x8088,0x8608
0x024e,0x124e,0x3a28,0x2368
0x024f,0x124f,0x3028,0xf148
0x0250,0x1250,0x3756,0x3466
0x0251,0x1251,0x8a38,0xf108
0x0252,0x1252,0x375d,0x8d1d
0x0253,0x1253,0x871d,0x340d
0x0254,0x1254,0x8191,0x8991
0x0255,0x1255,0x8391,0xaa01
0x0256,0x1256,0x3a8e,0xf16e
0x0257,0x1257,0x8ac8,0xb39f
0x0258,0x1258,0x3141,0x2061
0x0259,0x1259,0x3716,0x3d56
0x025a,0x125a,0x3341,0x3441
0x025b,0x125b,0x3a3e,0x360e
0x025c,0x125c,0x80c8,0xa158
0x025d,0x125d,0x3a88,0x8668
0x025e,0x125e,0x3ae8,0x2318
0x025f,0x125f,0x30e8,0xf14f
0x0260,0x1260,0x4dc5,0xd525
0x0261,0x1261,0xf4be,0x311b
0x0262,0x1262,0xf405,0xfd65
0x0263,0x1263,0x3755,0xf465
0x0264,0x1264,0xf3d1,0xf4d1
0x0265,0x1265,0xf9d1,0xe411
0x0266,0x1266,0xe5c6,0x46db
0x0267,0x1267,0xf928,0xf1d8
0x0268,0x1268,0xdff0,0xd7e0
0x0269,0x1269,0xd5a5,0xd725
0x026a,0x126a,0xd0f0,0xd7f0
0x026b,0x126b,0x467b,0x41db
0x026c,0x126c,0xf3d8,0xe118
0x026d,0x126d,0x315b,0x361b
0x026e,0x126e,0xd31a,0xd1da
0x026f,0x126f,0xef3c,0xd11a
0x0270,0x1270,0xdda5,0x45e5
0x0271,0x1271,0x3abb,0xf71e
0x0272,0x1272,0xf765,0xfd05
0x0273,0x1273,0xf705,0x3415
0x0274,0x1274,0xffd1,0xfad1
