Plaintext,Ciphertext
0x0182,0xe072
0x0183,0xe0e2
0x0184,0xe48a
0x0185,0xe4aa
0x0186,0x8caa
0x0187,0xe6aa
0x0188,0x807a
0x0189,0x80aa
0x018a,0x80ea
0x018b,0x1caa
0x018c,0xc6aa
0x018d,0xcc72
0x018e,0x1c7a
0x018f,0x8c7a
0x0190,0x80da
0x0191,0xec42
0x0192,0xe0d2
0x0193,0xe062
0x0194,0xe4da
0x0195,0xe0da
0x0196,0x8cca
0x0197,0xe6ca
0x0198,0x846a
0x0199,0xe06a
0x019a,0x806a
0x019b,0xec4a
0x019c,0xecca
0x019d,0xecc2
0x019e,0x864a
0x019f,0x8c4a
0x01a0,0x20f8
0x01a1,0xbd90
0x01a2,0x0e30
0x01a3,0x0f30
0x01a4,0x0efa
0x01a5,0x0e3a
0x01a6,0xa4b8
0x01a7,0xbaba
0x01a8,0x0018
0x01a9,0x2cf8
0x01aa,0x2008
0x01ab,0xa6b8
0x01ac,0xba9a
0x01ad,0xba90
0x01ae,0xb458
0x01af,0xa428
0x01b0,0x0e8a
0x01b1,0xba82
0x01b2,0xbe72
0x01b3,0xbee2
0x01b4,0xba8a
0x01b5,0xbaaa
0x01b6,0xbaea
0x01b7,0xbae2
0x01b8,0x0e7a
0x01b9,0x0eaa
0x01ba,0x0eea
0x01bb,0xba7a
0x01bc,0xba72
0x01bd,0xbaa2
0x01be,0x0a72
0x01bf,0x0ae2
0x01c0,0x2e10
0x01c1,0x8cf9
0x01c2,0x8030
0x01c3,0x8c30
0x01c4,0x80fa
0x01c5,0x803a
0x01c6,0x2f19
0x01c7,0x8c3a
0x01c8,0x8010
0x01c9,0x2f10
0x01ca,0x1000
0x01cb,0x2e09
0x01cc,0x1c3a
0x01cd,0x1c30
0x01ce,0x1019
0x01cf,0x8c10
0x01d0,0x0fa5
0x01d1,0xbda1
0x01d2,0xbe71
0x01d3,0xbf71
0x01d4,0xbeee
0x01d5,0xbe7e
0x01d6,0xbd75
0x01d7,0xba8e
0x01d8,0x0eac
0x01d9,0x0ea5
0x01da,0x0e8c
0x01db,0xba75
0x01dc,0xbaae
0x01dd,0xbaa1
0x01de,0xba7c
0x01df,0xbaec
0x01e0,0x8fa5
0x01e1,0xefed
0x01e2,0xefa1
0x01e3,0xef71
0x01e4,0xe06e
0x01e5,0xe0de
0x01e6,0x8f87
0x01e7,0xec4e
0x01e8,0xe06c
0x01e9,0xef75
0x01ea,0x80dc
0x01eb,0xefe7
0x01ec,0xecce
0x01ed,0xef8d
0x01ee,0xec4c
0x01ef,0x8ccc
0x01f0,0x8ca5
0x01f1,0xeced
0x01f2,0xe071
0x01f3,0xec71
0x01f4,0xe0ee
0x01f5,0xe07e
0x01f6,0x8c87
0x01f7,0xec7e
0x01f8,0x80ac
0x01f9,0x80a5
0x01fa,0x808c
0x01fb,0x1ca5
0x01fc,0xcc7e
0x01fd,0xcc71
0x01fe,0x1cac
0x01ff,0x8cac
0x0200,0x82be
0x0201,0xe3a2
0x0202,0x99a2
0x0203,0x89fe
0x0204,0x89fc
0x0205,0x9972
0x0206,0xe37a
0x0207,0xe3aa
0x0208,0xd972
0x0209,0x997a
0x020a,0x82fe
0x020b,0x1faa
0x020c,0xcdaa
0x020d,0xcf72
0x020e,0x1f7a
0x020f,0x8b7a
0x0210,0x834f
0x0211,0xef1e
0x0212,0x99cf
0x0213,0x8bcf
0x0214,0x898e
0x0215,0x99ae
0x0216,0xef5c
0x0217,0xef3e
0x0218,0x997c
0x0219,0x994b
0x021a,0x82ee
0x021b,0x1fcb
0x021c,0xcf7e
0x021d,0xcf4f
0x021e,0x1fac
0x021f,0xef9c
0x0220,0xf221
0x0221,0x9f9a
0x0222,0x9a7c
0x0223,0xd2be
0x0224,0xd2fe
0x0225,0xda7e
0x0226,0x9f50
0x0227,0xdd9a
0x0228,0xda61
0x0229,0x9a65
0x022a,0xf201
0x022b,0xf219
0x022c,0xf39a
0x022d,0xf33a
0x022e,0xf259
0x022f,0xdd50
0x0230,0x5925
0x0231,0xdf3a
0x0232,0x999c
0x0233,0x99bc
0x0234,0xd9be
0x0235,0xd99e
0x0236,0xdf10
0x0237,0xdf9a
0x0238,0xd951
0x0239,0x9955
0x023a,0xf921
0x023b,0xfe19
0x023c,0xff9a
0x023d,0xff3a
0x023e,0xfe59
0x023f,0xdf50
0x0240,0x5225
0x0241,0x939c
0x0242,0xdeac
0x0243,0x92bc
0x0244,0xd9bc
0x0245,0xde7c
0x0246,0x9355
0x0247,0xdb9c
0x0248,0xde65
0x0249,0xded5
0x024a,0xf925
0x024b,0xfed7
0x024c,0xff7c
0x024d,0xffac
0x024e,0xfe67
0x024f,0xdb55
0x0250,0xa258
0x0251,0xe35a
0x0252,0xde0b
0x0253,0xe328
0x0254,0xe2ba
0x0255,0xde3c
0x0256,0xa35a
0x0257,0xe39a
0x0258,0xde15
0x0259,0x4f1b
0x025a,0xc220
0x025b,0x4e0c
0x025c,0xff3c
0x025d,0xff0b
0x025e,0xfe17
0x025f,0xe350
0x0260,0xf205
0x0261,0xd33c
0x0262,0xd23c
0x0263,0xd2fc
0x0264,0xd2bc
0x0265,0xd29c
0x0266,0xd315
0x0267,0xd39c
0x0268,0xd255
0x0269,0xd215
0x026a,0xf225
0x026b,0xf217
0x026c,0xf39c
0x026d,0xf33c
0x026e,0xf257
0x026f,0xd355
0x0270,0x2253
0x0271,0x9f6a
0x0272,0x9a2b
0x0273,0x8323
0x0274,0x82b2
0x0275,0x9a9c
0x0276,0x6f6a
0x0277,0x9f7a
0x0278,0x9a55
0x0279,0x6d5b
0x027a,0x1226
0x027b,0x2e0a
0x027c,0x1f3a
0x027d,0x1f08
0x027e,0x1e19
0x027f,0x9f60
0x0280,0x82fc
0x0281,0xe39e
0x0282,0xe29e
0x0283,0xe2be
0x0284,0xe9fc
0x0285,0xe93c
0x0286,0x833c
0x0287,0xeb3c
0x0288,0x829c
0x0289,0x823c
0x028a,0x82bc
0x028b,0x133c
0x028c,0xcb3c
0x028d,0xc39e
0x028e,0x139c
0x028f,0x839c
0x0290,0xe2bc
0x0291,0xe33e
0x0292,0x9272
0x0293,0xe2fe
0x0294,0xe2fc
0x0295,0x99aa
0x0296,0xe39c
0x0297,0xe33c
0x0298,0xd27a
0x0299,0xd2aa
0x029a,0x89bc
0x029b,0xf3aa
0x029c,0x5baa
0x029d,0x5372
0x029e,0xf37a
0x029f,0x8b9c
0x02a0,0xa958
0x02a1,0xdfda
0x02a2,0xe928
0x02a3,0xeb28
0x02a4,0xe9ba
0x02a5,0xe99a
0x02a6,0x4fda
0x02a7,0xdfaa
0x02a8,0xe950
0x02a9,0xab58
0x02aa,0xc920
0x02ab,0x4eca
0x02ac,0xffaa
0x02ad,0xffc8
0x02ae,0xfed9
0x02af,0xdfd0
0x02b0,0xe9bc
0x02b1,0xe372
0x02b2,0xe93e
0x02b3,0xe9fe
0x02b4,0xe9be
0x02b5,0xe99e
0x02b6,0x83aa
0x02b7,0xebaa
0x02b8,0x899e
0x02b9,0xe99c
0x02ba,0x89be
0x02bb,0x13aa
0x02bc,0xcbaa
0x02bd,0xc372
0x02be,0x137a
0x02bf,0x837a
0x02c0,0x2218
0x02c1,0x831a
0x02c2,0x8208
0x02c3,0x8308
0x02c4,0x82fa
0x02c5,0x823a
0x02c6,0x231a
0x02c7,0x833a
0x02c8,0x8210
0x02c9,0x2318
0x02ca,0x1200
0x02cb,0x220a
0x02cc,0x133a
0x02cd,0x1308
0x02ce,0x1219
0x02cf,0x8310
0x02d0,0xeb4b
0x02d1,0xef5e
0x02d2,0xe9cf
0x02d3,0xebcf
0x02d4,0xe98e
0x02d5,0xe9ae
0x02d6,0x8f1c
0x02d7,0xef9e
0x02d8,0xe97c
0x02d9,0xe94b
0x02da,0xe9ec
0x02db,0x1f0b
0x02dc,0xcf9e
0x02dd,0xcf2f
0x02de,0x1f3c
0x02df,0x8f3c
0x02e0,0xe34b
0x02e1,0xe3de
0x02e2,0x924f
0x02e3,0xe3cf
0x02e4,0xe28e
0x02e5,0x927e
0x02e6,0xe36c
0x02e7,0xe3ae
0x02e8,0xd2ac
0x02e9,0xd2cb
0x02ea,0xe2ec
0x02eb,0xf3cb
0x02ec,0x537e
0x02ed,0x534f
0x02ee,0xf3ac
0x02ef,0xe37c
0x02f0,0x83cb
0x02f1,0xe36e
0x02f2,0xe24f
0x02f3,0xe34f
0x02f4,0xe2ee
0x02f5,0xe27e
0x02f6,0x83dc
0x02f7,0xe37e
0x02f8,0x82ac
0x02f9,0x82cb
0x02fa,0x828c
0x02fb,0x13cb
0x02fc,0xc37e
0x02fd,0xc34f
0x02fe,0x13ac
0x02ff,0x83ac
0x0300,0xc240
0x0301,0xfe93
0x0302,0xd2f8
0x0303,0x5e98
0x0304,0xfa98
0x0305,0xd2b8
0x0306,0x1246
0x0307,0xfe33
0x0308,0x8e60
0x0309,0x8ed0
0x030a,0x1940
0x030b,0xea60
0x030c,0xd9b3
0x030d,0x99b8
0x030e,0x8a66
0x030f,0x12c6
0x0310,0xae5b
0x0311,0xfe63
0x0312,0x1f18
0x0313,0x5e68
0x0314,0x5e78
0x0315,0x8ef8
0x0316,0x2e5f
0x0317,0xfe73
0x0318,0x8ed5
0x0319,0x2fdb
0x031a,0xce25
0x031b,0xad6b
0x031c,0xeab8
0x031d,0xcd58
0x031e,0xea65
0x031f,0x1e21
0x0320,0xc2a3
0x0321,0x1273
0x0322,0x8e88
0x0323,0xc278
0x0324,0x1978
0x0325,0x8ee8
0x0326,0x19a3
0x0327,0x12a3
0x0328,0xea88
0x0329,0xeee3
0x032a,0xc2a8
0x032b,0xea83
0x032c,0x8ae3
0x032d,0xeae8
0x032e,0xeae3
0x032f,0x19a8
0x0330,0xc273
0x0331,0xc978
0x0332,0x8288
0x0333,0x12a8
0x0334,0x1278
0x0335,0x82e8
0x0336,0xc9a3
0x0337,0x1973
0x0338,0xe988
0x0339,0xe2e3
0x033a,0xc9a8
0x033b,0xe983
0x033c,0x89e3
0x033d,0xe9e8
0x033e,0xe9e3
0x033f,0xc973
0x0340,0xc7c3
0x0341,0xe568
0x0342,0x80d8
0x0343,0xc748
0x0344,0x1148
0x0345,0x8068
0x0346,0xe5d3
0x0347,0x8868
0x0348,0xe4d8
0x0349,0xe063
0x034a,0xc7c8
0x034b,0xc062
0x034c,0x106a
0x034d,0x10da
0x034e,0xc4da
0x034f,0xe5d8
0x0350,0xcef1
0x0351,0xcfb7
0x0352,0x1f85
0x0353,0xceb5
0x0354,0xc02b
0x0355,0x80db
0x0356,0xcffd
0x0357,0xec5b
0x0358,0xe06f
0x0359,0xcfe1
0x035a,0xc00f
0x035b,0xce7d
0x035c,0x10dc
0x035d,0x1ea7
0x035e,0xc06e
0x035f,0xec1f
0x0360,0xc743
0x0361,0x85d8
0x0362,0x87d8
0x0363,0x17c8
0x0364,0x1748
0x0365,0x8768
0x0366,0xe563
0x0367,0x8568
0x0368,0xe1d8
0x0369,0xe763
0x036a,0xc1c8
0x036b,0xc762
0x036c,0x176a
0x036d,0x17da
0x036e,0xc1da
0x036f,0xe8d8
0x0370,0xce1f
0x0371,0x1e5f
0x0372,0x1fdb
0x0373,0xce5b
0x0374,0xce9b
0x0375,0x8e8b
0x0376,0x1a1f
0x0377,0x1e9f
0x0378,0xeeef
0x0379,0xcf6f
0x037a,0xce3f
0x037b,0xcddf
0x037c,0xeaeb
0x037d,0xcd6b
0x037e,0xea8f
0x037f,0x1a3f
0x0380,0x27a0
0x0381,0xdc18
0x0382,0xd018
0x0383,0xf008
0x0384,0xf028
0x0385,0xd058
0x0386,0x0580
0x0387,0xdc58
0x0388,0x07e0
0x0389,0x0780
0x038a,0x2770
0x038b,0x2789
0x038c,0xf05a
0x038d,0xf01a
0x038e,0x27e9
0x038f,0x05e0
0x0390,0xa770
0x0391,0x9c58
0x0392,0xd718
0x0393,0x5028
0x0394,0xf428
0x0395,0xd758
0x0396,0xb5e0
0x0397,0xd658
0x0398,0x00e0
0x0399,0x0080
0x039a,0x2170
0x039b,0x2089
0x039c,0xf75a
0x039d,0xf71a
0x039e,0x20e9
0x039f,0x08e0
0x03a0,0xce5f
0x03a1,0xca5b
0x03a2,0x1f1b
0x03a3,0x1e1b
0x03a4,0x1e3b
0x03a5,0x8efb
0x03a6,0xca1f
0x03a7,0xca9b
0x03a8,0xeebf
0x03a9,0xcf5f
0x03aa,0xce9f
0x03ab,0xcd1f
0x03ac,0xeabb
0x03ad,0xcd5b
0x03ae,0xeaff
0x03af,0xca3f
0x03b0,0x12c0
0x03b1,0x5a98
0x03b2,0xdef8
0x03b3,0xfe38
0x03b4,0xfe98
0x03b5,0xdeb8
0x03b6,0xc940
0x03b7,0xfa93
0x03b8,0x8260
0x03b9,0x82d0
0x03ba,0x1240
0x03bb,0xe960
0x03bc,0xdab3
0x03bd,0x9ab8
0x03be,0x8966
0x03bf,0x1946
0x03c0,0xceb1
0x03c1,0x1ff7
0x03c2,0x1ff5
0x03c3,0x1ef5
0x03c4,0x100b
0x03c5,0x801b
0x03c6,0xcfbd
0x03c7,0x8c1b
0x03c8,0xe05f
0x03c9,0xcfb1
0x03ca,0xc02f
0x03cb,0xce9d
0x03cc,0x101c
0x03cd,0x1e37
0x03ce,0xc05e
0x03cf,0xec5f
0x03d0,0x2e1b
0x03d1,0x5a68
0x03d2,0xffd8
0x03d3,0xfed8
0x03d4,0xfea8
0x03d5,0xde88
0x03d6,0xaa5b
0x03d7,0x5a78
0x03d8,0x8e15
0x03d9,0x2f1b
0x03da,0x1e05
0x03db,0xad5b
0x03dc,0x9ae8
0x03dd,0x5d68
0x03de,0xea55
0x03df,0xca25
0x03e0,0xa055
0x03e1,0x5fe9
0x03e2,0x1ff0
0x03e3,0x5ee0
0x03e4,0x5048
0x03e5,0x8018
0x03e6,0xac57
0x03e7,0x9c68
0x03e8,0x0085
0x03e9,0x2cd5
0x03ea,0xa095
0x03eb,0x20c7
0x03ec,0x101a
0x03ed,0x1e39
0x03ee,0x2087
0x03ef,0xbcb5
0x03f0,0x2015
0x03f1,0xff89
0x03f2,0xff80
0x03f3,0xfe80
0x03f4,0xf0c8
0x03f5,0xd0d8
0x03f6,0x2c17
0x03f7,0xdcd8
0x03f8,0x00f5
0x03f9,0x2c15
0x03fa,0x2035
0x03fb,0x2007
0x03fc,0xf0da
0x03fd,0xfea9
0x03fe,0x20f7
0x03ff,0x0cf5
0x0400,0x832f
0x0401,0xe3d2
0x0402,0x99c3
0x0403,0x8b0f
0x0404,0x8baf
0x0405,0x99af
0x0406,0xe36a
0x0407,0xeffe
0x0408,0x997b
0x0409,0x9948
0x040a,0x837f
0x040b,0x1fc8
0x040c,0xcf7f
0x040d,0xcf43
0x040e,0x1fab
0x040f,0xefbc
0x0410,0x833f
0x0411,0xe38a
0x0412,0x9973
0x0413,0x8b3b
0x0414,0x8b3f
0x0415,0x99a3
0x0416,0x8bea
0x0417,0xe382
0x0418,0x9978
0x0419,0xd973
0x041a,0x839f
0x041b,0x1f78
0x041c,0xcf73
0x041d,0xcda8
0x041e,0x1fa8
0x041f,0xe3ea
0x0420,0x425f
0x0421,0x9f5a
0x0422,0x9a4b
0x0423,0xd32f
0x0424,0x8393
0x0425,0x9a9b
0x0426,0x6f5a
0x0427,0x9fea
0x0428,0x5d55
0x0429,0x6d6b
0x042a,0x1256
0x042b,0x420a
0x042c,0x1f38
0x042d,0xf308
0x042e,0x1e09
0x042f,0x5f69
0x0430,0x695b
0x0431,0xdf1a
0x0432,0x992b
0x0433,0x9b2b
0x0434,0xeb98
0x0435,0xe998
0x0436,0x4f1a
0x0437,0xdf8a
0x0438,0xcb50
0x0439,0x6b5b
0x043a,0xc950
0x043b,0x4e0a
0x043c,0xffa8
0x043d,0xff08
0x043e,0xfec9
0x043f,0xffd9
0x0440,0x625b
0x0441,0x935c
0x0442,0xdecb
0x0443,0x932b
0x0444,0xe398
0x0445,0xde3b
0x0446,0x635c
0x0447,0xe3ba
0x0448,0xff15
0x0449,0x4fdb
0x044a,0xc250
0x044b,0x4ecc
0x044c,0xff3b
0x044d,0xffcb
0x044e,0xfe07
0x044f,0xc359
0x0450,0xf955
0x0451,0xdbbc
0x0452,0xde7b
0x0453,0xdb9b
0x0454,0x939b
0x0455,0xdeab
0x0456,0xfb57
0x0457,0x93bc
0x0458,0xffd5
0x0459,0xff65
0x045a,0x5255
0x045b,0xfe47
0x045c,0xffab
0x045d,0xff7b
0x045e,0xfec7
0x045f,0x5357
0x0460,0x421b
0x0461,0xd31c
0x0462,0xd20b
0x0463,0xd30b
0x0464,0x8338
0x0465,0x8238
0x0466,0x431c
0x0467,0x83fa
0x0468,0x1310
0x0469,0x431b
0x046a,0x1210
0x046b,0x420c
0x046c,0x1338
0x046d,0xf30b
0x046e,0x1209
0x046f,0x1319
0x0470,0xf211
0x0471,0xddba
0x0472,0xda7f
0x0473,0xd33f
0x0474,0xd39f
0x0475,0x9a7b
0x0476,0xfd59
0x0477,0x9fba
0x0478,0x5d65
0x0479,0xfd61
0x047a,0xf251
0x047b,0xf229
0x047c,0xf338
0x047d,0xf398
0x047e,0xf209
0x047f,0x5f59
0x0480,0x830b
0x0481,0xe35e
0x0482,0xe22f
0x0483,0xe32f
0x0484,0xe37f
0x0485,0xe27f
0x0486,0x831c
0x0487,0xe3ee
0x0488,0x82ab
0x0489,0x820b
0x048a,0x83ab
0x048b,0x130b
0x048c,0xc37f
0x048d,0xc32f
0x048e,0x13ab
0x048f,0x838c
0x0490,0xe32b
0x0491,0xe31e
0x0492,0x9243
0x0493,0xe30f
0x0494,0xe3af
0x0495,0x927f
0x0496,0xe35c
0x0497,0xe38e
0x0498,0xd2ab
0x0499,0xd2c8
0x049a,0xe37b
0x049b,0xf3c8
0x049c,0x537f
0x049d,0x5343
0x049e,0xf3ab
0x049f,0xe3ec
0x04a0,0xf951
0x04a1,0xdfba
0x04a2,0xd99f
0x04a3,0xdb9f
0x04a4,0x9b9b
0x04a5,0x999b
0x04a6,0xff59
0x04a7,0xdffa
0x04a8,0x5b55
0x04a9,0xfb51
0x04aa,0x5955
0x04ab,0xfe29
0x04ac,0xff38
0x04ad,0xff98
0x04ae,0xfe09
0x04af,0xff19
0x04b0,0xeb2b
0x04b1,0xe362
0x04b2,0xe90f
0x04b3,0xeb0f
0x04b4,0xebaf
0x04b5,0xe9af
0x04b6,0x83da
0x04b7,0xefbe
0x04b8,0xe97b
0x04b9,0xe92b
0x04ba,0xeb7b
0x04bb,0x13c8
0x04bc,0xcf9f
0x04bd,0xc343
0x04be,0x1f3b
0x04bf,0x8ffc
0x04c0,0xf255
0x04c1,0xd3bc
0x04c2,0xd29b
0x04c3,0xd39b
0x04c4,0xd33b
0x04c5,0xd23b
0x04c6,0xf357
0x04c7,0xd3fc
0x04c8,0xf315
0x04c9,0xf355
0x04ca,0xf215
0x04cb,0xf227
0x04cc,0xf33b
0x04cd,0xf39b
0x04ce,0xf207
0x04cf,0xf317
0x04d0,0x8b9f
0x04d1,0xeb8a
0x04d2,0xe99f
0x04d3,0xeb9f
0x04d4,0xeb3f
0x04d5,0xe93f
0x04d6,0x83ea
0x04d7,0xe3e2
